ad_id,reporting_start,reporting_end,interest1,interest2,interest3,campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,total_conversion,approved_conversion,cr,ctr,cpc
708746,2017-08-17,2017-08-17,15,17,17,916,103916,30-34,M,15,7350,1.0,1.429999948,2,1,0.00027210884353741496,0.00013605442176870748,1.429999948
708749,2017-08-17,2017-08-17,16,19,21,916,103917,30-34,M,16,17861,2.0,1.820000023,2,0,0.00011197581322434354,0.00011197581322434354,0.9100000115
708771,2017-08-17,2017-08-17,20,25,22,916,103920,30-34,M,20,693,1.0,0.0,1,0,0.001443001443001443,0.001443001443001443,0.0
708815,2017-08-30,2017-08-30,28,32,32,916,103928,30-34,M,28,4259,1.0,1.25,1,0,0.00023479690068091102,0.00023479690068091102,1.25
708818,2017-08-17,2017-08-17,28,33,32,916,103928,30-34,M,28,4133,1.0,1.289999962,1,1,0.00024195499637067505,0.00024195499637067505,1.289999962
708820,2017-08-17,2017-08-17,29,30,30,916,103929,30-34,M,29,1915,1.0,0.0,1,1,0.0005221932114882506,0.0005221932114882506,0.0
708889,2017-08-17,2017-08-17,15,16,17,916,103940,30-34,M,15,15615,3.0,4.769999981,1,0,6.404098623118796e-05,0.00019212295869356388,1.5899999936666667
708895,2017-08-17,2017-08-17,16,20,18,916,103941,30-34,M,16,10951,1.0,1.269999981,1,1,9.131586156515387e-05,9.131586156515387e-05,1.269999981
708953,2017-08-17,2017-08-17,27,31,31,916,103951,30-34,M,27,2355,1.0,1.5,1,0,0.0004246284501061571,0.0004246284501061571,1.5
708958,2017-08-30,2017-08-30,28,32,31,916,103952,30-34,M,28,9502,3.0,3.159999967,1,0,0.00010524100189433803,0.0003157230056830141,1.0533333223333334
708979,2017-08-30,2017-08-30,31,37,34,916,103955,30-34,M,31,1224,1.0,0.0,1,0,0.0008169934640522876,0.0008169934640522876,0.0
709023,2017-08-29,2017-08-29,7,8,8,916,103962,30-34,M,7,735,1.0,0.0,1,0,0.0013605442176870747,0.0013605442176870747,0.0
709038,2017-08-29,2017-08-29,16,20,22,916,103965,30-34,M,16,5117,1.0,0.0,1,0,0.00019542700801250732,0.00019542700801250732,0.0
709040,2017-08-29,2017-08-29,16,19,21,916,103965,30-34,M,16,5120,1.0,0.0,1,0,0.0001953125,0.0001953125,0.0
709059,2017-08-30,2017-08-30,20,26,23,916,103968,30-34,M,20,14669,7.0,10.28000021,1,1,6.817097279978186e-05,0.000477196809598473,1.4685714585714287
709105,2017-08-30,2017-08-30,28,30,32,916,103976,30-34,M,28,1241,1.0,0.0,1,1,0.0008058017727639,0.0008058017727639,0.0
709115,2017-08-30,2017-08-30,30,34,31,916,103978,30-34,M,30,2305,1.0,0.569999993,1,0,0.0004338394793926247,0.0004338394793926247,0.569999993
709124,2017-08-30,2017-08-30,31,34,33,916,103979,30-34,M,31,1024,1.0,0.0,1,1,0.0009765625,0.0009765625,0.0
709179,2017-08-30,2017-08-30,15,16,17,916,103988,35-39,M,15,4627,1.0,1.690000057,1,0,0.0002161227577263886,0.0002161227577263886,1.690000057
709183,2017-08-30,2017-08-30,16,20,22,916,103989,35-39,M,16,21026,4.0,4.630000114,2,1,9.512032721392562e-05,0.00019024065442785123,1.1575000285
